,Year,Team,P,PA,N_of_ball,P/PA,LookingStrike,SwingStrike,FoulStrike,hit/strike,S,B,BatSwing_percent,FirstballBatswing Percent,contact_percent,After_2S_cut,After_2S_See,SwingOut,LookingOut,LSO%,BattingChance,Swing_in_chance,W%,PA,AB,R,H,2H,3H,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,HR%,BB%,K%,BB/K,IsoP,IsoD,BIPA,Spd,PSN,wOBA,wRC,wrc/27,wRAA,wOBA,wRC,wRC/27,wRAA,wRC+,RAA_hit,RAA_run,RAA_running,RAA_total1,RAA_save,RAA_Positioon,RAA_total2,RAA-Adj,RAA,RP_Run,RAR,RPW,WAA,WAR Bat,WAR  OFF,WAR,WAR,PA,%,Chance_hit_per,RBI,RBI-HR,Num_Runner,%,RE24_Hit,RE24_Run,RE24,REW,WPA_HIT,WPA_RUN,Plus,Minus,WPA,PLI,WPA/LI,Clutch,ph,PoilOut,PoilMissing,PoilOut%,salary
최승준,2016,SK,1B,231,968,4.19,20.1,26.4,30.8,22.7,61.1,39,48.8,41.6,67,64.3,38.3,51,15,22.7,370,25,6.8,231,199,31,53,5,0,19,115,42,0,0,28,3,1,66,5,0,1,0.266,0.364,0.578,0.942,0.401,124.5,0.8,0.52,8.23,12.1,28.6,0.42,0.312,0.097,0.296,1.1,0,0.401,41.2,7.32,8.8,0.397,40.3,7.16,7.9,124.5,7.7,0.2,-4.3,3.6,-2,-5.5,-7.5,1.7,-3.8,13.2,9.3,11.31,-0.3,1.65,1.28,0.8,0.62,73,31.6,0.188,42,23,146,15.8,3.12,0,3.12,0.27,0.52,0,5.29,-4.77,0.52,1.07,1.26,-0.78,23,0,1,0,6200
김민식,2016,SK,C,170,700,4.12,31,14.9,27.9,26.2,59.4,40.6,41,32.4,78.4,69.4,43.5,23,15,39.5,223,13,5.8,170,144,17,37,9,0,2,52,14,1,1,21,2,0,38,2,3,0,0.257,0.359,0.361,0.72,0.335,85.2,0.64,-0.05,1.18,12.4,22.4,0.55,0.104,0.102,0.337,2.7,1.33,0.335,20.1,4.8,-3.7,0.337,20.3,4.85,-3.5,85.2,-3.6,-0.1,-0.4,-4.1,1,3.4,4.4,-3.2,0.2,9.7,9.9,11.22,0,0.38,0.34,0.64,0.73,44,25.9,0.308,14,12,100,12,-4.89,-0.79,-5.68,-0.5,0.14,-0.19,2.79,-2.84,-0.05,1.07,0.02,-0.06,14,0,0,0,6000
최정,2016,SK,3B,606,2446,4.04,20.9,20,32.8,26.3,59,41,46.7,38,74.7,71,39.1,105,21,16.7,807,86,10.7,606,500,106,144,24,1,40,290,106,1,2,77,23,2,126,6,0,6,0.288,0.403,0.58,0.983,0.425,140.7,5.82,3.24,6.6,12.7,20.8,0.61,0.292,0.115,0.306,3.1,1.95,0.425,120.9,8.82,36,0.422,119.5,8.72,34.6,140.7,34.1,-0.1,1.6,35.6,-3.7,2.2,-1.5,31.9,34,34.6,68.6,11.46,3,5.5,5.63,5.82,5.5,158,26.1,0.278,106,66,298,22.2,47.78,0.1,47.88,4.2,3.26,-0.02,12.2,-8.96,3.24,0.98,4.5,-1.18,1,0,0,0.81,120000
박재상,2016,SK,LF,288,1132,3.93,28.2,11.7,26.9,33.2,59.5,40.5,42.8,22.6,83.7,78,36.3,24,13,35.1,424,33,7.8,288,255,37,76,14,1,6,110,35,3,6,27,0,0,37,9,4,2,0.298,0.363,0.431,0.794,0.357,98.9,0.49,0.31,2.08,9.4,12.9,0.73,0.133,0.065,0.327,3.1,4,0.357,39.8,5.37,-0.6,0.358,39.9,5.39,-0.4,98.9,-0.6,-2.1,-2.1,-4.8,-4.6,-3.1,-7.7,-9.4,-12.5,16.4,3.9,11.26,-1.1,1.14,0.77,0.49,0.09,68,23.6,0.339,35,29,160,18.1,1.71,-2.61,-0.9,-0.08,0.65,-0.34,5.28,-4.97,0.31,1.03,-0.06,0.37,7,0,0,0,25000
나주환,2016,SK,1B,65,249,3.83,21.4,16.4,28.3,34,63.9,36.1,50.2,32.3,79.2,88,41.2,5,1,16.7,40,4,10,65,57,13,22,2,0,5,39,12,0,4,2,3,0,6,4,3,0,0.386,0.436,0.684,1.12,0.462,164.4,0.57,0.28,7.69,3.1,9.2,0.33,0.298,0.05,0.37,2.4,0,0.462,15.2,8.9,6.1,0.458,15,8.79,5.9,164.4,5.8,-1.9,0.1,4,-2.9,-0.5,-3.4,1.1,0.6,3.7,4.3,11.47,0,0.78,0.62,0.57,0.32,13,20,0.417,12,7,33,21.2,6.81,-1.82,5,0.44,0.41,-0.14,1.2,-0.92,0.28,0.79,0.58,-0.23,6,0,0,0,15000
이재원,2016,SK,C,472,1727,3.66,23.2,14.5,30.8,31.5,63.3,36.7,48.6,41.1,81.2,75.4,39.6,51,25,32.9,434,37,8.5,472,411,49,119,15,0,15,179,64,1,5,43,9,3,76,15,2,7,0.29,0.364,0.436,0.799,0.359,99.4,1.93,0.51,3.18,9.1,16.1,0.57,0.146,0.074,0.318,1.6,1.88,0.359,66,5.55,-0.1,0.359,65.8,5.53,-0.4,99.4,-0.7,-1.8,-5.3,-7.8,-0.1,7.4,7.2,-8,-0.6,26.9,26.3,11.22,-0.1,1.9,1.27,1.93,1.91,141,29.9,0.25,64,49,271,18.1,6.12,-1.28,4.84,0.42,0.61,-0.11,8.72,-8.21,0.51,1.05,0.25,0.24,8,0,0,0,35000
고메즈,2016,SK,SS,492,1769,3.6,20.6,18.7,28.4,32.4,65.5,34.5,52,33.9,76.5,73.4,28.6,72,15,17.2,621,51,8.2,492,456,74,129,31,0,21,223,62,16,8,25,5,2,87,11,2,4,0.283,0.325,0.489,0.814,0.353,95.5,2.19,-0.08,4.27,5.1,17.7,0.29,0.206,0.042,0.307,4.3,18.16,0.353,66.2,5.07,-2.8,0.352,65.8,5.05,-3.1,95.5,-3.5,-0.4,0.5,-3.4,1.1,5,6,-2.3,2.7,28.1,30.7,11.23,0.2,1.74,1.75,2.19,2.29,118,24,0.297,62,41,264,15.5,-2.15,2.37,0.22,0.02,-0.36,0.28,8.83,-8.91,-0.08,0.98,1.41,-1.49,5,0,0,5.71,65000
김동엽,2016,SK,DH,150,505,3.37,17.2,27.7,26.6,28.5,71.5,28.5,59.2,52,66.6,59.4,35.7,34,7,17.1,48,6,12.5,150,143,19,48,8,0,6,74,23,2,1,5,1,0,41,3,0,1,0.336,0.36,0.517,0.878,0.388,118.6,0.56,0.24,4,3.3,27.3,0.12,0.182,0.024,0.433,2.8,3,0.388,24.9,6.73,3.9,0.388,24.9,6.73,3.9,118.6,3.8,0,-1,2.8,-1.1,-3.6,-4.7,1.7,-1.9,8.6,6.7,11.31,-0.2,0.96,0.88,0.56,0.46,36,24,0.29,23,17,86,19.8,6.53,-0.62,5.91,0.52,0.25,0,3,-2.76,0.24,0.96,0.77,-0.52,21,1,1,0,4700
박정권,2016,SK,1B,468,1782,3.81,24.2,19.2,27.2,29.4,62.9,37.2,47.6,35.9,74.7,69.6,36.8,73,26,26.3,390,43,11,468,422,59,117,17,3,18,194,59,4,0,35,5,0,99,7,2,4,0.277,0.337,0.46,0.797,0.353,95.5,0.84,1.68,3.85,7.5,21.2,0.35,0.183,0.06,0.32,4.8,6.55,0.353,62.7,5.33,-2.8,0.353,62.6,5.32,-3,95.5,-3.3,1.2,-1.4,-3.4,10.9,-9,1.9,7.5,-1.6,26.7,25.1,11.18,-0.1,1.66,1.64,0.84,1.81,122,26.1,0.243,59,41,262,15.7,2.46,2.93,5.38,0.47,1.35,0.33,9.99,-8.31,1.68,1.06,1.84,-0.25,7,0,0,0,40000
최정민,2016,SK,2B,177,643,3.63,19.2,20.1,34.4,26.3,67.3,32.7,54.4,47.5,75.1,63,31.1,34,14,29.2,107,18,16.8,177,155,29,51,4,1,0,57,11,8,4,8,7,0,48,1,6,1,0.329,0.386,0.368,0.754,0.347,94.3,0.63,0.16,0,4.5,27.1,0.17,0.039,0.057,0.472,6.3,0,0.347,22.9,5.32,-2,0.351,23.4,5.44,-1.4,94.3,-1.5,-0.2,1.1,-0.6,-2.2,-0.6,-2.8,-2.8,-3.4,10.1,6.7,11.28,-0.3,0.6,0.68,0.63,0.43,49,27.7,0.293,11,11,102,10.8,3.79,0.7,4.49,0.39,-0.22,0.39,3.1,-2.93,0.16,1,0.69,-0.53,19,0,0,3.23,5500
