name,Year,Team,P,P/PA,BatSwing_percent,contact_percent,BattingchanceSwing%,PA,AB,R,TB,RBI,AVG,OBP,SLG,wOBA,WAR,WPA,IsoP,IsoD,BIPA,Spd,PSN,wRC+,RAA-Adj,RP_Run,RAR,WAA,Chance_hit_per,RE24,WPA,PoilOut,PoilMissing,PoilOut%,salary
최승준,2016,SK,1B,4.19,48.8,67,6.8,231,199,31,115,42,0.266,0.364,0.578,0.401,0.8,0.52,0.312,0.097,0.296,1.1,0,124.5,1.7,13.2,9.3,-0.3,0.188,3.12,0.52,0,1,0,6200
김민식,2016,SK,C,4.12,41,78.4,5.8,170,144,17,52,14,0.257,0.359,0.361,0.335,0.64,-0.05,0.104,0.102,0.337,2.7,1.33,85.2,-3.2,9.7,9.9,0,0.308,-5.68,-0.05,0,0,0,6000
최정,2016,SK,3B,4.04,46.7,74.7,10.7,606,500,106,290,106,0.288,0.403,0.58,0.425,5.82,3.24,0.292,0.115,0.306,3.1,1.95,140.7,31.9,34.6,68.6,3,0.278,47.88,3.24,0,0,0.81,120000
박재상,2016,SK,LF,3.93,42.8,83.7,7.8,288,255,37,110,35,0.298,0.363,0.431,0.357,0.49,0.31,0.133,0.065,0.327,3.1,4,98.9,-9.4,16.4,3.9,-1.1,0.339,-0.9,0.31,0,0,0,25000
나주환,2016,SK,1B,3.83,50.2,79.2,10,65,57,13,39,12,0.386,0.436,0.684,0.462,0.57,0.28,0.298,0.05,0.37,2.4,0,164.4,1.1,3.7,4.3,0,0.417,5,0.28,0,0,0,15000
이재원,2016,SK,C,3.66,48.6,81.2,8.5,472,411,49,179,64,0.29,0.364,0.436,0.359,1.93,0.51,0.146,0.074,0.318,1.6,1.88,99.4,-8,26.9,26.3,-0.1,0.25,4.84,0.51,0,0,0,35000
고메즈,2016,SK,SS,3.6,52,76.5,8.2,492,456,74,223,62,0.283,0.325,0.489,0.353,2.19,-0.08,0.206,0.042,0.307,4.3,18.16,95.5,-2.3,28.1,30.7,0.2,0.297,0.22,-0.08,0,0,5.71,65000
김동엽,2016,SK,DH,3.37,59.2,66.6,12.5,150,143,19,74,23,0.336,0.36,0.517,0.388,0.56,0.24,0.182,0.024,0.433,2.8,3,118.6,1.7,8.6,6.7,-0.2,0.29,5.91,0.24,1,1,0,4700
박정권,2016,SK,1B,3.81,47.6,74.7,11,468,422,59,194,59,0.277,0.337,0.46,0.353,0.84,1.68,0.183,0.06,0.32,4.8,6.55,95.5,7.5,26.7,25.1,-0.1,0.243,5.38,1.68,0,0,0,40000
최정민,2016,SK,2B,3.63,54.4,75.1,16.8,177,155,29,57,11,0.329,0.386,0.368,0.347,0.63,0.16,0.039,0.057,0.472,6.3,0,94.3,-2.8,10.1,6.7,-0.3,0.293,4.49,0.16,0,0,3.23,5500
김재현,2016,넥센,C,4.16,41.4,78.7,10.1,82,72,8,15,8,0.181,0.263,0.208,0.231,-0.31,-0.13,0.028,0.082,0.224,2.8,0,14.9,-10,4.7,-3.2,-0.7,0.313,-3.45,-0.13,0,0,0,5300
정의윤,2016,SK,RF,3.48,53.1,82,7,616,576,68,294,100,0.311,0.347,0.51,0.375,2,3.19,0.2,0.037,0.318,2.3,3.72,109.8,2.6,35.1,26.4,-0.8,0.299,19.71,3.19,0,0,0,30000
김성현,2016,SK,2B,3.29,48,89,7.8,530,479,66,205,65,0.319,0.366,0.428,0.36,2.29,1.49,0.109,0.046,0.329,2.8,4.36,100.8,2.5,30.2,35.1,0.4,0.322,5.37,1.49,0,0,0,28000
김원섭,2016,KIA,RF,4.16,32.1,81.7,4.9,90,73,10,21,12,0.219,0.348,0.288,0.311,0.08,0.38,0.069,0.129,0.276,2.8,0,67.8,-3.5,5.1,1,-0.4,0.3,2.05,0.38,0,0,4.76,9000
노수광,2016,KIA,RF,3.95,45.7,81.8,6,238,207,43,84,30,0.309,0.373,0.406,0.347,0.91,0.01,0.097,0.064,0.382,7.7,6,90.9,5.6,13.6,17.7,0.4,0.413,7.3,0.01,2,1,0,6800
신종길,2016,KIA,RF,3.83,47.8,82,10.5,240,213,34,83,12,0.31,0.385,0.39,0.364,0.76,0.25,0.08,0.075,0.399,6.5,1.75,102,-2.2,13.7,9,-0.4,0.25,0.44,0.25,0,0,0,9800
김주형,2016,KIA,SS,3.76,45.2,82.5,9.7,387,345,43,172,49,0.281,0.355,0.499,0.376,2.17,0.05,0.217,0.074,0.287,2.3,1.9,110.4,1.1,22.1,22.2,0,0.244,3.57,0.05,0,0,7.46,11000
나지완,2016,KIA,DH,4.18,39.7,74.9,9,486,380,84,217,90,0.308,0.451,0.571,0.45,3.94,3.83,0.263,0.143,0.342,4.1,9.68,158,34.5,27.7,46.9,1.7,0.304,54.47,3.83,0,1,0,60000
서동욱,2016,KIA,2B,4.09,46.1,75.5,10.7,485,411,73,204,67,0.292,0.386,0.496,0.389,3.13,3.07,0.204,0.094,0.359,5.1,11.52,118.1,6.9,27.7,34.9,0.6,0.308,24.9,3.07,0,2,5.21,15000
